,text,source,group,date,intervention,expanding,distancing,assimilating,category
0,third rate meddling please upendra sabat prime minister inder kumar gujrals description britain third rate power created lot controversy international scene though foreign ministry delhi issued denial remarks attributed gujral without foundation words struck effective prime minister said words needs analyzed fact kashmir big problem one important since india got independence divided india pakistan history mute spectator division india birth pakistan result britains divide rule policy congress leaders became strong british rulers india way break backbone weaken get hold opponents mohammed ali jinha personal axe grind good tool beat congress party suited jinha also interest body including muslims mind history says never true muslim humanitarian bowed seeds poison hatred minds muslims hindus hindu religion patient tolerant religions cannot said religions hence instead fighting islamic fundamentalism jinha went stop institutionalized political form creation pakistan result perennial hatred muslims toward india permanent offshoot hatred factor people india pakistan suffering much today muslims india pakistan hatred pak muslims toward hindus muslims india jinhas legacy british played insignificant role episode hence hatred pakistan today towards india everything indian condemned britishers need partake share rather ones tried create hatred hindus muslims succeeded later world knows pakistan comparable india standard population natural resources gross national product military strength many aspects state machinery still pakistan posing competitor india since birth pakistan also knows since birth experienced military dictatorship time barring last decade democracy worth name till yesterday till today pakistan cant claim independent judiciary free press efficient nonpolitical bureaucracy military committed defense nation former prime minister benazir bhutto agreed pakistan ruled military mullahs washington said prime minister could continue power unless three powers satisfied says anything else situation pakistan creation sustenance amply clear britain instrumental creating pakistan also bowing seed hatred india pakistanis today problems south asia stem mistrust disbelief britain united states sustained pakistan india cold war period pakistan center us strategy influence south asia west asia muslim world military dictators goals except continuing power suited parties national revenue spent defense equipments knowing well could never match india several reasons truth never told pakistan either united states western power rather pakistan encouraged pitted india two reasons one india would weakened way two forces come mediators would help presence felt region tactics exposed cold war tactic west use pakistan india keep indian subcontinent hotspot world exposed even many senior pakistani diplomats retired military officers spoken bluntly condemned united states tried use misuse pakistan far many us congressmen senators demand correct american tilt toward pakistan today see reality ground south asian region kashmir problem india wanted international forces wanted way india remained undivided population india would big china geographic area would area todays india pakistan bangladesh would unformidable country world terms human resources natural resources like water forests mineral resources would big power international scene nobody could accept possibility specially britishers plotted see today pakistan kashmir population india pakistan since birth listening kashmir problem problem created politicians diplomats journalists intelligentsia countries dealing problem inherited predecessors history says pakistan attacked kashmir right independence took away part called pakoccupied kashmir reason nehru instead fighting war approached united nations nehru criticized countrymen pakistans economy bad overexpenditure defense sector years past us arms control disarmament agency recently reported pakistani military expenditure per capita 1995 30 chinas 53 indias 8 still india fifth military power world third economic power terms gdp united states china pakistan ever think kashmir historical sensitive issue every indian take kashmir away india even wants fight another 1000 years way one day zulfiqar ali bhutto declared unnecessarily encouraged many including western powers muslim countries refuse see realities ground gujral gujral however good kind goldenhearted prime minister india may never afford divert national consensus kashmir till time pakistan stresses kashmir cannot peace two countries terrorism use encouraging terrorism kashmir getting hundreds youngmen killed pakistan claims provides moral support nobody asked define moral support rationale behind feel providing moral support achieve anything tangible except course spreading nuisance far ok pakistan recruits youngmen women trains provides money military support brainwashing proved beyond doubt type support ammunition come terrorists hands usmade arms ammunition powerful allknowing united state know done far deal situation tolerance disagreement diversity pakistan hence youngmen brainwashed sent kashmir create terrorism path left indian government deal many indian leaders including prime minister state chief minister appealed terrorists shun violence come negotiations many responded employed organizations deal recalcitrant civilized government worth name allow go killing spree innocent people nothing politics including women children india alternate employ military deal hence joke mockery justice others demand india withdraw troops state unless terrorism destroyed course government decided gradually reduce troops kashmir felt terrorism wane one hypothesis let us take one hypothesis pakistan would got power india aspects india would less power pakistan perhaps pakistan would destroyed india 50 years perhaps would attacked india thousand times tried come delhi many muslim leaders done past without match india also attacked thrice islam tool pakistan using islam tool continue kashmir issue compulsion please military wields effective power islamabad leaders islamabad think kashmir muslimmajority state go pakistan think high profile publicity kashmiris vote merge pakistan harping implementation united nations resolutions hand india takes merger kashmir final per agreement former kashmir ruler signed delhi time hence says solutions except bilateral negotiations issue islam could binding force kashmir pakistan come could keep east bengal bangladesh pakistan could pakistan torture maim exploit fellow muslims compelled raise revolt made free bangladesh come fellow mqm muslim leaders waging war leaders pakistan many killed karachi compared violence muslims pakistan violence india even anything muslims india access independent judiciary pakistani muslims cannot dream recent charges bjp president lk advani shiv sena chief bal thackeray babri masjid case pointer us britain responsible hence whatever position south asian region britain united states partly responsible yes leaders india pakistan free guilt hence time sit together world let discuss bilaterally solve problems united states britain equally guilty moral rights talk kashmir issue done much harm india pakistan far forget mediation dont need person bites us snake come doctor treat us gujral refused come new york talk president clinton tried interfere kashmir problem knowing well unwise part british foreign minister robin cook suggest mediate already condemned everyone including british media gujral described third rate power expressed anger bitterness britains insensibility indias feelings secret true none including indians expected phrase politician gujrals status known suave sweet speaking anger anger anyway foreign ministry delhi denied denied indias position power earth try interfere bilateral issue stands indobritish diplomatic row done one thing good clear let britain know time changed western leaders remain past india power need anybodys help deal problems,News India - Times,Indian,1997-10-24,post,0.0,1.0,0.0,1
1,phagwah parade draws many dharmvir gehlaut new york 12th successive year phagwah parade colorful carnival holi held amid clouds colors traditional pigment water much fanfare richmond hill section queens march 11 indocaribbeans across boroughs city thronged marched liberty avenue multiethnic neighborhood celebrate festival parade marks arrival spring hindu new year vikrami samwat attracting growing number caribbean hindu general particularly guyanese several large small groups performed dances beat drums cheltal tassa sang hindi film songs rang barse bhige chunarwali rang barse faces clothes smeared green red blue white powder colored water sprinkled throughout celebration parade drew variety people politicians celebrities sports personalities pandits business people professionals singingdancing artists besides hindus christians muslims others many participants enjoying festival many know religious cultural importance phagwah known holi ramaotar 23 said doesnt know story significance festival certainly big fun last year regular participant parade offers tremendous joy happiness virender sharma india joined parade first time said heard holi celebrations queens decided participate said missing holi last two years playing holi big apple made feel home holi back india mythological past present starts night bonfire fire signifies destruction evil celebration triumph goodness heralds spring season well end winter holi long traditional links several legends according one popular legend word holi derived demoness holika sister hiranyakashyap demon king defeated gods proclaimed supremacy everyone universe enraged son prahlads ardent devotion lord vishnu hiranyakashyap decides punish takes help sister holika immune damage fire holika carries prahlad fire divine intervention destroys saves prahlad getting burned thus holi celebrated mark burning evil holika organizing secretary national hindu temple association one coordinators parade ramrattan said nhta organizes fiesta every year liberty avenue added several thousand people indocaribbean community come participate festivity 90 percent hail guyana said even people far east countries like fiji indonesia singapore well india join parade asserted parade totally financed community members business houses mandirs locality participated floats peace harmony love message parade asserted forget problems display unity phagwah derived sanskrit word phag represents last month phalgun hindu calendar parade first held beginning 1990 participants years grew bigger bigger parade concept brainchild ramesh kalicharan pandit ramlall pandit satesh prakash yash paul soi others day parade schools area remain closed passed many barriers obstacles one decade took long time recognized administration police said bina mahabir journalist local newspapers many nonhindus also enjoyed parade patricia sigala new mexico flew new york firsthand experience festival said really blew away put different world indeed beautiful colorful festival ive ever seen sigala said learned lot tradition happy participate music drums dance forced put ring colors going back message indocaribbean community proud culture traditions seems community wants preserve enrich pride even united states world champion welterweight boxing andrew lewis became first world champion guyana said guyana big festival new york felt home saw spirit richmond hill added fete spread message peace love many artists also joined parade pritha singh kathak dancer part parade since commencement phagwah parade small beginning remember hardly 50 people walking group years become special attraction communities neighborhood parade transformation phase phagwah transformed taking turn encompassing political forum first time indocaribbeans trying run political office council level explained wants see artistic floats parade floats depicting great epics like ramayana mahabharata insisited parade led pandit ramlall dharmacharya audrey pherer trevor rupnarain toni andrews inderjeet singh others many day special significance serves day reunite friends family neighbors photo section participants phagwah parade,News India - Times,Indian,2001-03-23,post,,,,0
2,advani blames congress uf daltongunj bihar bharatiya janata party president lk advani jan 17 lashed described party communal untouchable charged using minorities mere vote banks addressing election rally advani claimed bjp secular party said called secular parties describing bjp untouchable communal used minorities including muslims mere vote banks done anything uplift charging congress united front plight minorities country advani said bjp voted power would take effective steps improve condition according pti said party entered electoral alliances regional outfits different states give strong government led atal behari vajpayee speaking newspersons ranchi bjp chief also expressed partys commitment creating separate vananchal state comprising 18 districts south bihar voted power described jharkhand area autonomous council toothless body bjp voted power take appropriate legislative steps speed creation separate vananchal state advani said citing example haryana made significant progress achieving statehood said statehood alone ensure economic social development region playing hoax ghaziabad bsp leader mayawati jan 17 said party spurned bjps conditional offer alliance favor poor downtrodden country launching partys election campaign ambedkar park mayawati accused bjp leader atal behari vajpayee playing hoax national politics pti reported dispatch blamed bjp lawlessness uttar pradesh photo advani lunch party,News India - Times,Indian,1998-01-23,post,,,,0
3,violence feared assembly elections n sathiya moorthy chennai could violenceprone assembly poll tamil nadu past indication doordie battle ruling dmk dethroned aiadmk states history communal violence time round emerging issue castebased political parties pantamil militancy identified rajkumar abduction providing better recipe election marked violence last four elections held state two marked violence points informed source rajiv gandhi assassination 1991 coimbatore serial blasts 1998 also set tone voting jayalalitha vajpayee became major issues polls held 1996 1999 end another violent incident could set tone election given issueless fight heading context communalism pantamil militancy potential turning something could shock voters common mindset eve polls fundamentalist mercenary groups could effect coimbatorelike blasts situation send message international focus tamil nadu given controversies charisma surrounding leader like jayalalitha pantamil groups may take left 1991 source points rajkumar abduction may end chapter beginning may culminate motivated political violence polleve says source referring possible precedents 1991 1998 first case padmanabha killing set mode mood ended rajiv gandhi assassination second antimuslim coimbatore riots led serial blasts electioneve cases dmk took political blame thus became electionvictim however sources also refer doordie electoral battle emerging dmk aiadmk district bydistrict constituencyby constituency jailterms pending court cases staring jayalalitha erstwhile ministerial colleagues face along possible disqualification contesting polls given varying interpretations law real situation emerge nomination papers scrutinised returning officers concerned three weeks ahead polls time campaign could reached high pitch dmk cadres vulnerable jayalalithas threat imprisoning chief minister muthuvel karunanidhi life term prison party returned power could set violent agenda polling day particular given absence wave issue says source referring three byelections february year three assembly byelections marked varying degrees violence boothcapturing charges bogusvoting impersonation three urban tiruchi ii seat took cake videographed records available simultaneously sources also refer emergence subregional political forces based casteist tendencies parties could sober pitted castebased parties particular regions could nightmare law enforcement officials sources add past embers thevardalit violence southern district could stoked one hand oil might poured recent vanniardalit violence northern districts reports countrymade bombs possession groups may make things easier police also may provide sophisticated weapons hands organized groups like islamic fundamentalists pantamil militants source says adding authorities would well probe possibilities polleve political violence made electoral issue past issue seeking capture imagination states newgeneration voters mostly noncadres whose numbers however swelling passing elections past decade,News India - Times,Indian,2001-01-05,post,,,,0
4,indrani rahmans final bow arun aguiar padma shri indrani rahman cremated new jersey sunday feb 7 passed away unexpectedly feb 5 following massive stroke first day month third past year 68 lain coma since reaching hospital dramatic new york moment collapsed street alarmed passersby shouted one another someone cellular telephone dial 911 swiftly thereafter sirenblaring ambulance screeched sidewalk hand children photographer son usually resides half year new delhi dancer turned visual artist daughter resident orrs island maine present doctors beekman downtown hospital near wall street pulled life support systems using sustain life tears smiles sunday morning day cremation cold damp suns efforts dispel gloom match heavy dull clouds overhead funeral home little italy spring street mulberry mott cut friends students contemporaries grieved together tight knot hoary indian way taking leave departed casket open mourners take final look adding rose petals thickening floral necklace attendance shared amusing anecdotes inspiring memories privately publicly consequently heard sniveling instead curling lips dimpling cheeks brightened countenances one person misty eyes fitting finale performing artist one whose primary missions must satisfy patrons stirring inner wellsprings joy eloquent eulogies galaxy stars new york arts scene conjoined say adieu among instantly recognizable luminaries filmmaker james ivory booker prize winning novelistscriptwriter ruth prawar jhabvala architect husband cyrus longtime new yorker writer ved mehta wife former ford foundation executive lynn cary art collector retired former indian national theatre director ebrahim alkazi messrs ivory jhabvala delivered brief eloquent eulogies 10odd others whose statements clearly came straight heart alkazis testimonial poignant deceased ms rahman fit would surely prized guest opening previous night sparkling new gallery chelsea jewel among exhibition spaces archival collections dedicated photography thumbnail biography indrani first foremost daughter ragini devi white american former esther sherman took liking indian dance particularly kathakali way back first quarter century mothers fortuitous marriage indian activist taking sanctuary america run britishled soon extended trip india study dance masters indrani born madras 1930 began studying bharat natyam age 5 later went learn mohini attam kuchipudi odissi latter form languishing neglect benefited tremendous boost attention india foreign dance centers studied pandanallur chokkalingam pillai tanjore kittapa pillai chinammu amma odissi maestro guru deva prasad kudos india called upon perform mao tse tung chou en lai china ho chi minh vietnam haile selassie ethiopia queen elizabeth castro kruschev ussr marshall tito yugoslavia gen eisenhower jfk jackie grandma rose matriarch kennedy clan awards indian artistic organizations bestow recognition performers prowess appreciative government india bestowed one indias highest civilian accolades padma shri took place forever pantheon postindependence indian heroes heroines footnote career must mentioned 1951 age 20 first ms india contest relegating luckless lucknow aspirant second place making america new york ms rahman held prestigious position faculty member lincoln centers renowned julliard school independently presented dance concerts dance tours often featuring classical dancers india like pandit durga lal raja radha reddy duo also places like malaysias odissi expert ramli ibrahim dancers never experienced glow limelight later went least fame fortune rare commodity artists everywhere recent major presentation new york took place september 2223 1998 received favorable review pages also new york times therefore surprise monday morning following cremation times ran laudatory prominent obituary four columns across framed striking madan mahatta picture danseuse classic dance pose learned later classic sari wears picture one dressed saw public viewing asia society tribute asia society showed regard indrani unique way 1961 selected first ever national tour something works interview dance critic times senior asia society functionary divulged planned give ms rahman lifetime achievement award hold posthumous ceremony convey information concerning date venue details program made public reactions india though permanent resident big apple continued vital connections india forgotten example extract mr kr narayanan president republic indias condolence message impossible think indrani synonymous life energy creativity understanding indian dance music deep rendering nritya authentic admired internationally artistry well intellect indrani rahman keenly missed influence contemporary dance generations artists india abroad however remain indelible doubt tributes memory occasions like forthcoming khajuraho dance festival march 612 event takes place central indian state madhya pradeshs 1000 yearold site 20 temples dedicated celebration life sensuality expressed sculpture stone carving highest artistry whats name indrani rahman hindumuslim combination may forerunner names like abdul narain desouza amar akbar anthony names satirical imagined real daughter bajpai white woman went married delhi architect habib rahman heady postcolonial days many hoped freedoms heady flush would ruddy intermarriages mixing blood types hopes belied miracle never fructified prejudices caste creed even color polarize many indians even ever paradoxically consequences farreaching terms bloodletting human pain economic hardship distraction national attention fulfillment unkept promises struggles parents grandparents freedom selfdetermination unity indrani rahman look lightly combinations alas even find one two slim chances consequence broader scheme things memorial consulate consulate convened memorial gathering offices 5 e 64 st wednesday february 24th 6 pm particulars contact 2128797888 condolences meanwhile condolences may conveyed family 115 south street new york ny 10038 phone 2122272196,News India - Times,Indian,1999-02-19,post,,,,0
5,benazirs demand imf rejected raja asghar islamabad pakistans caretaker government last week rejected ousted prime minister benazir bhuttos demand agreement restructuring loan negotiated international monetary fund approved top political parties caretaker prime minister meraj khalids cabinet noted bhuttos demand made letter president farooq leghari regarded extremely reprehensible action national interest government minister said cabinet meeting information minister irshad haqqani told news conference bhuttos letter sent last week related pakistans vital economic interests attempt shake international communitys confidence pakistan want take punitive action bhutto said process accountability taking course added apparently referring charges government likely bring accountability commission letter bhutto leghari said caretaker government installed dismissing government earlier month right negotiate loans imf democratic system longterm pledges matters vital economic importance made duly elected political government responsible legislature people wrote bhutto said agreement imf signed national interest peoples democratic front alliance pakistan muslim league chief political foe former prime minister nawaz sharif must agree conditions structural adjustment loan haqqani said bhutto locus standi make demands since gone court challenge dismissal position making demands government enter agreement said nation would taken confidence details talks government imf everything would transparent nation bhuttos letter stopped short saying would disown deal supreme court ruled government deposed unconstitutionally asked pakistan peoples party elections scheduled february talk journalists punjab provincial capital lahore asked case restoration government explanation would offer people pakistan imf mission visited pakistan bhutto dismissed charges corruption incompetence accusations vehemently denies agreed recommend reactivation 600 million standby loan deal imf board expected approve middecember would involve swift release two transches 80 million shore pakistans low foreign reserves,News India - Times,Indian,1996-12-06,post,,,,0
6,ayodhya negotiated settlement n sathiya moorthy new delhi first kashmir issue comes ayodhya dispute though general rebuff sides great divide negotiated settlement ayodhya dispute beginning made dot predicted prime minister atal behari vajpayee though bharatiya janata party cautious enough distance course present move made former bajrang dal president vinay khatiar news height ayodhya demolition reportedly support haji mohammed hashim ansari main appellant ayodhya dispute ownership case pending special bench allahabad high court news first round talks scheduled jan 13 prematurely leaked media reason believe news leak aimed scuttling chances negotiated settlement even considered beginning context sources refer motives behind news leak cause enough concern point anyone truly interested early end pending dispute potential still nationwide communal flareup welcoming peaceful resolution problem rather waiting judicial verdict could cut either way part haji distanced scheduled meeting though earlier reports confirmed willingness lead team muslim leaders islamic scholars first round talks likewise vishwa hindu parishad supremo ashok shingal opposed negotiated settlement another senior vhp leader acharya giriraj kishore denied participation meeting allindia babri masjid action committee convener erstwhile career diplomat syed shahabuddin gone one step assert individual power withdraw pending case classaction reference obviously haji someone thought early beginning scuttled behind peace talks disheartened would expected early beginning made rule earlier scuttling peace process current round brickbatting gone breakthrough could achieved even talks commence process gone light end tunnel argue protagonists peace initiative bjp prime minister want identified yet say current sparring session would expose hardliners sides would show leaders motives beyond obvious leaders want use peoples sentiments achieve different larger ends discount serious concerns sides emanating ayodhya dispute various angularities projects context point first round talks agenda preconceived conclusion temple would come disputed site mosque would come preconceived denial temple mosque yet sides taken tough positions without even giving peace chance source points issues two sides discuss decide upon maybe talks could collapse ultimately beginning would still made sides would known others positions better sides would known better still latter particular would help onetoone personal equations required diffusing communal tensions country time present though bjp taking credit party vicepresident jana krishnamurthy quick distance bjp efforts made vinay khatiar seen strategic move bjp want lording peace negotiations given political interests electoral commitments past negotiator seen neutral bjp qualify thus job power center could misconstrued forcing either two sides unacceptable solutions would partys image good seen associating failed project may refuse take later stage reason bjp prime minister could power else could could become catchline taking peace initiative early say way ball would swing enough indications current move blessings vajpayee prime minister cut mould jawaharlal nehru seeking raise partisan politics become statesman trait led taking bold initiative first kashmir ayodhya also crux controversial statement ayodhya winter session parliament ended raising dust vajpayee proved intention causing peace process set motion political religious hurdles need cleared peaceful solution could made given ayodhya live political issue hotheads either side would like squandered away anyway favor unlike kashmir national consensus ayodhya political adversaries vajpayee bjp would like credit peaceful solution going obvious reasons,News India - Times,Indian,2001-01-12,post,1.0,0.0,0.0,1
7,kashmiri activists praise dialogue new york kashmir international centera new yorkbased nonpolitical group organized conference brooklyn last week backdrop upcoming summit prime minister atal behari vajpayee president pervez musharraf agra conference attended large number activists pakistan controlled kashmir gilgit baltistan organizations speakers unanimously welcomed dialogue initiative hoped leaders would make sincere efforts find solution fivedecadeold conflict executive director center mumtaz khan elaborated objectives conference appreciated upcoming summit two countries khan said peaceful negotiations means find solution kashmir imbroglio said regional cooperation economic integration become reality new millennium countries joining hands uplift basic services human beings unfortunately name religion pakistan trying hard spread hatred hostilities india kashmir pakistan dangerous destructive forces gaining roots encouraged military establishment order perpetuate power historic opportunity countries demonstrate vision commitment seize opportunity stressed khan said reference made aspirations people kashmir dispute means entire state jammu kashmir reports appearing media suggesting different proposal division kashmir neither offers solution acceptable kashmiris one thing everybody must bear mind issue lies valley rather political situation equally serious northern areas pakistan controlled kashmir areas left unaddressed may cause another problem near future raja muzaffar another kashmiri activist said vajpayee musharraf thinking along lines division may work long term division continuous source tension unless parties shift position solution found sardar arif khan jkpp leader said solution must according wishes aspirations kashmiris jk national liberation front leader tariq agarwal stressed parts kashmir discussed addressed comprehensively always support public aspirations right decide future state must rested kashmiri people said jk muslim conference leader taj khan gilgit baltistan representative nasim khan complained behavior azad kashmir leaders said azad kashmir leaders always calling us part pakistan last 54 years never made symbolic statement exploitation deprivation fundamental rights said signed karachi agreement without mandate want tell kashmiri leaders whether aphc azad kashmir leaders bound decision take without consent nasim khan said pakistan government restore fundamental rights people gilgit baltistan first seeking iok freedom time come take destiny hands pakistan stop pretending advocate pakistan military establishment misusing issue vested interests time countries make serious efforts resolve issue taking kashmiri leadership confidence asserted kic director javed anayat two resolutions passed elections pakistan controlled kashmir called open fraud condemned rejection nomination papers nationalist leaders also arrest nationalists protesting discriminatory laws another resolution demanded mangla dam royalty given azad kashmir government stop extension mangla dam,News India - Times,Indian,2001-07-13,post,1.0,0.0,0.0,1
8,cinema follows social milieu farookh sheikh upendra sabat newark farookh sheikh actor different others sense reputation choosing roles accept roles money though never number one far farookh name quality portrayals characters reputed good actor farookh guest sixth annual convention american federation muslims india interview news indiatv farookh said taste audience changed lot last decade society changed thinking process attitude viewers hence audience concentration gets diffused counter movie directors put lot emotions drama directors try put something exciting every five minutes audience concentration collapse lot sex violence modern minutes farookh said audience reaction counts producers directors movies movies medium invest millions rupees describing films business enterprises farookh said film producer take risk produce think sell well audience audience shows like movie type movies produced anymore come films much sex violence modern movies family members sit together view farookh said cinema produced social vacuum follows social milieu every aspect society deteriorating expect cinema good job every thing else chaos farookh said farookh said cinema commercially risky business high investment needed every venture money needs come back another film made said one time parallel cinema could last long answering another question admitted still good story told entertaining format indian cinema cared much though good movies made social political economical changes reflected films farookh said cinema touched society marginally periphery admitted basic changes society reflected indian cinema said good regional films specially malayalam enjoy similarly movies socialist former communist countries reflect society mostly advertising nature like documentaries popular beyond territorial boundaries farookh said likes take roles interesting go conviction emotionally satisfying photo farookh sheikh addressing convention,News India - Times,Indian,1996-10-18,post,,,,0
9,ayodhya wants peace ayodhya old woman wrapped faded skyblue sari sits front bangle shop holy town ayodhya watching trickle people trucks rumble kicking clouds dust one stops look stacks glass bracelets available every hue rainbow shops neighbors selling religious paraphernalia people afraid coming times festivals people says rashida whose muslim family business alongside hindu neighbors past 40 years december 6 1992 communal violence erupted small northern town hindus razed 16thcentury structure believed built birthplace lord rama makeshift shrine tiny statue rama built ruins mosque hindumuslim clash followed 3000 people died houses looted burnt towns people forced flee many still received compensation damages business affected suffered many years worried tension suffer even says rashida riots quickly spread across nation worst communal violence rip india since subcontinents bloodstained partition modernday india pakistan 1947 since rioting templemosque issue languishing countrys courts violence litigation done little deter rama temple trust pushing preparations began 1990 temple erected site trust runs three workshops one kilometers away hill mosque known babri masjid used stand temple already rama statue says ram chandra paramhans trusts president going give grand shape recent weeks bjpled coalition government come fire parliament opponents allowing hindu groups carry temple construction work near contested site bharatiya janata partys rivals say work temple secretly gathered momentum since new government took power march district magistrate avanish awasthi custodian heavily guarded site says status quo violated activity workshop changed pace prime minister atal behari vajpayee assured lawmakers abide court ruling dispute media politicians thank telling world cause says paramhans easier destroy something build says far workshops completed 52 212 pillars needed temple house statue lord rama sits draped garlands canvas tent mosque stood supervisor ayodhya workshop anubhai sompura said know temple would finished doubted would soon temple gujarat started 1948 still incomplete said hundred stone masons chisel devotedly site daily wages three months ago workshop acquired threeacre patch land nearby plans building another workshop want increase number workers 200 provide housing men increase wages sompura said maybe come back going home holidays said speaking buzz stonecutting machines hindus ayodhya faizabad town adjoining want rama temple built local muslims oppose followers religions attending others weddings friendly terms always day riots broke want avoid trouble mostly outsiders local people stirred riots last time started even people live got involved says hajji abdul ahad muslim elder ahad lost nephew cousins violence says bound objections muslims groups vishwa hindu parishad go ahead build temple ahad says finds ironic congress party whose rule riots broke objecting construction temple years ahad reckons government really wanted save mosque would stationed troops closer ayodhya whole issue politicized politicians religion says ahad clad loose white tunic white cap perched white hair last time everyone caught unawares says time everyone knows coming wont get excited besides idol already hindus happy,News India - Times,Indian,1998-07-10,post,,,,0
