"","source","intervention","date","domestic","group"
"1","News India - Times","pre",1997-10-24,"Domestic","Indian Americans"
"2","News India - Times","pre",2001-03-23,"International","Indian Americans"
"3","News India - Times","pre",1998-01-23,"International","Indian Americans"
"4","News India - Times","pre",2001-01-05,"International","Indian Americans"
"5","News India - Times","pre",1999-02-19,"International","Indian Americans"
"6","News India - Times","pre",1996-12-06,"International","Indian Americans"
"7","News India - Times","pre",2001-01-12,"Domestic","Indian Americans"
"8","News India - Times","pre",2001-07-13,"Domestic","Indian Americans"
"9","News India - Times","pre",1996-10-18,"International","Indian Americans"
"10","News India - Times","pre",1998-07-10,"International","Indian Americans"
"11","News India - Times","pre",1997-02-14,"International","Indian Americans"
"12","News India - Times","pre",1998-01-09,"Domestic","Indian Americans"
"13","News India - Times","pre",1998-05-01,"Domestic","Indian Americans"
"14","News India - Times","pre",1997-07-18,"Domestic","Indian Americans"
"15","News India - Times","pre",2001-08-03,"Domestic","Indian Americans"
"16","News India - Times","pre",2000-01-14,"Domestic","Indian Americans"
"17","News India - Times","pre",1996-12-27,"Domestic","Indian Americans"
"18","News India - Times","pre",2000-12-15,"International","Indian Americans"
"19","News India - Times","pre",2000-02-11,"International","Indian Americans"
"20","News India - Times","pre",2000-06-23,"Domestic","Indian Americans"
"21","News India - Times","pre",1998-06-05,"International","Indian Americans"
"22","News India - Times","pre",1999-09-03,"International","Indian Americans"
"23","News India - Times","pre",2000-01-14,"International","Indian Americans"
"24","News India - Times","pre",2001-05-04,"International","Indian Americans"
"25","News India - Times","pre",1999-12-17,"Domestic","Indian Americans"
"26","News India - Times","pre",1999-09-10,"International","Indian Americans"
"27","News India - Times","pre",1998-05-29,"International","Indian Americans"
"28","News India - Times","pre",2000-08-18,"International","Indian Americans"
"29","News India - Times","pre",1999-09-17,"International","Indian Americans"
"30","News India - Times","pre",2000-07-14,"International","Indian Americans"
"31","News India - Times","pre",2001-08-17,"Domestic","Indian Americans"
"32","News India - Times","pre",1997-08-15,"Domestic","Indian Americans"
"33","News India - Times","pre",1999-02-26,"International","Indian Americans"
"34","News India - Times","pre",1996-11-22,"International","Indian Americans"
"35","News India - Times","pre",2001-08-24,"International","Indian Americans"
"36","News India - Times","pre",2000-12-15,"Domestic","Indian Americans"
"37","News India - Times","pre",1998-08-14,"Domestic","Indian Americans"
"38","News India - Times","pre",2000-01-21,"Domestic","Indian Americans"
"39","News India - Times","pre",1999-03-05,"Domestic","Indian Americans"
"40","News India - Times","pre",1999-12-17,"International","Indian Americans"
"41","News India - Times","pre",1998-03-06,"International","Indian Americans"
"42","News India - Times","pre",1997-06-06,"International","Indian Americans"
"43","News India - Times","pre",1999-02-19,"International","Indian Americans"
"44","News India - Times","pre",1999-11-05,"International","Indian Americans"
"45","News India - Times","pre",1998-10-30,"International","Indian Americans"
"46","News India - Times","pre",1999-05-14,"Domestic","Indian Americans"
"47","News India - Times","pre",1997-04-25,"International","Indian Americans"
"48","News India - Times","pre",2000-09-22,"Domestic","Indian Americans"
"49","News India - Times","pre",1997-07-25,"Domestic","Indian Americans"
"50","News India - Times","pre",1998-07-17,"Domestic","Indian Americans"
"51","News India - Times","pre",2000-06-23,"International","Indian Americans"
"52","News India - Times","pre",1996-11-15,"International","Indian Americans"
"53","News India - Times","pre",2001-01-19,"Domestic","Indian Americans"
"54","News India - Times","pre",1997-11-07,"Domestic","Indian Americans"
"55","News India - Times","pre",1998-02-27,"Domestic","Indian Americans"
"56","News India - Times","pre",1997-04-25,"Domestic","Indian Americans"
"57","News India - Times","pre",1997-05-20,"Domestic","Indian Americans"
"58","News India - Times","pre",1997-08-01,"Domestic","Indian Americans"
"59","News India - Times","pre",1999-08-13,"Domestic","Indian Americans"
"60","News India - Times","pre",1999-08-13,"International","Indian Americans"
"61","News India - Times","pre",1998-02-20,"International","Indian Americans"
"62","News India - Times","pre",1996-09-27,"International","Indian Americans"
"63","News India - Times","pre",1999-05-07,"International","Indian Americans"
"64","News India - Times","pre",1997-08-29,"Domestic","Indian Americans"
"65","News India - Times","pre",2001-06-01,"International","Indian Americans"
"66","News India - Times","pre",2001-08-24,"Domestic","Indian Americans"
"67","News India - Times","pre",1998-08-07,"International","Indian Americans"
"68","News India - Times","pre",1998-01-02,"Domestic","Indian Americans"
"69","News India - Times","pre",1999-02-19,"International","Indian Americans"
"70","News India - Times","pre",2001-07-27,"International","Indian Americans"
"71","News India - Times","pre",2000-04-07,"Domestic","Indian Americans"
"72","News India - Times","pre",1999-02-12,"International","Indian Americans"
"73","News India - Times","pre",1999-12-03,"International","Indian Americans"
