,0
0,0
1,1
2,1
3,1
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,0
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,1
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,1
283,1
284,0
285,0
286,0
287,1
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,0
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,1
414,0
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,0
423,1
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,1
447,1
