,0
1,1
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,0
129,1
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,0
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,1
171,0
172,0
173,1
174,1
175,0
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,0
215,0
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,0
311,1
312,0
313,0
314,0
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,1
348,1
349,1
350,1
351,1
352,0
353,0
354,1
355,1
356,1
357,1
358,0
359,1
360,0
361,0
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,0
377,1
378,0
379,1
380,1
381,0
382,1
383,0
384,1
385,1
386,0
387,0
388,1
389,1
390,0
391,1
392,1
393,0
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,1
440,1
441,0
442,1
443,0
444,1
445,0
446,0
447,1
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,0
484,0
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,1
505,0
506,1
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,0
571,1
572,1
573,0
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,1
585,1
586,0
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,0
598,0
599,1
600,1
601,0
602,0
